date,tasks,reworked_tasks,avg_lead_time_sec,median_lead_time_sec,good,fair,bad,fallback_tasks
2026-03-25,49,8,119.36883673469389,47.562,28,0,0,29
2026-03-26,45,9,629.5372,229.42,25,2,8,30
2026-03-27,15,15,861.6393333333333,734.765,2,1,8,8
2026-03-30,77,49,822.9243376623376,308.664,10,15,35,40
2026-03-31,120,54,748.0030333333333,230.1445,44,14,32,72
2026-04-01,155,30,457.20305806451614,127.028,70,21,31,92
2026-04-02,181,100,544.6670607734807,235.847,67,23,60,105
2026-04-06,205,84,638.3174097560975,252.249,63,28,97,100
2026-04-07,138,58,1331.2338768115942,385.05449999999996,57,30,39,62
2026-04-08,14,11,1021.7504285714285,743.8575000000001,6,3,4,6
